freq	freq_mln	orth_pres	orth_past	ipa_pres	ipa_past	Infl
124	7	abandon	abandoned	@b&nd@n	@b&nd@nd	reg
3	0	abash	abashed	@b&S	@b&St	reg
5	0	abate	abated	@beIt	@beItId	reg
6	0	abbreviate	abbreviated	@bri:vIeIt	@bri:vIeItId	reg
3	0	abdicate	abdicated	&bdIkeIt	&bdIkeItId	reg
2	0	abduct	abducted	@bdVkt	@bdVktId	reg
4	0	abet	abetted	@bEt	@bEtId	reg
3	0	abhor	abhorred	@bhO:r*	@bhO:d	reg
1	0	abide	abided	@baId	@baIdId	reg
31	2	abolish	abolished	@bOlIS	@bOlISt	reg
4	0	abort	aborted	@bO:t	@bO:tId	reg
4	0	abound	abounded	@baUnd	@baUndId	reg
1	0	abrade	abraded	@breId	@breIdId	reg
2	0	abridge	abridged	@brIdZ	@brIdZd	reg
1	0	abrogate	abrogated	&br@UgeIt	&br@UgeItId	reg
1	0	absent	absented	&bsEnt	&bsEntId	reg
3	0	absolve	absolved	@bzOlv	@bzOlvd	reg
71	4	absorb	absorbed	@bsO:b	@bsO:bd	reg
3	0	abstain	abstained	@bsteIn	@bsteInd	reg
1	0	abstract	abstracted	&bstr&kt	&bstr&ktId	reg
13	1	abuse	abused	@bju:z	@bju:zd	reg
2	0	accede	acceded	&ksi:d	&ksi:dId	reg
18	1	accelerate	accelerated	@ksEl@reIt	@ksEl@reItId	reg
5	0	accent	accented	&ksEnt	&ksEntId	reg
7	0	accentuate	accentuated	&ksEntjUeIt	&ksEntjUeItId	reg
322	18	accept	accepted	@ksEpt	@ksEptId	reg
6	0	acclaim	acclaimed	@kleIm	@kleImd	reg
2	0	acclimatize	acclimatized	@klaIm@taIz	@klaIm@taIzd	reg
11	1	accommodate	accommodated	@kOm@deIt	@kOm@deItId	reg
111	6	accompany	accompanied	@kVmp@nI	@kVmp@nId	reg
32	2	accomplish	accomplished	@kVmplIS	@kVmplISt	reg
16	1	accord	accorded	@kO:d	@kO:dId	reg
5	0	accost	accosted	@kOst	@kOstId	reg
29	2	account	accounted	@kaUnt	@kaUntId	reg
2	0	accredit	accredited	@krEdIt	@krEdItId	reg
2	0	accrue	accrued	@kru:	@kru:d	reg
33	2	accumulate	accumulated	@kju:mjUleIt	@kju:mjUleItId	reg
90	5	accuse	accused	@kju:z	@kju:zd	reg
14	1	ache	ached	eIk	eIkt	reg
208	12	achieve	achieved	@tSi:v	@tSi:vd	reg
1	0	acidify	acidified	@sIdIfaI	@sIdIfaId	reg
56	3	acknowledge	acknowledged	@knOlIdZ	@knOlIdZd	reg
3	0	acquiesce	acquiesced	&kwIEs	&kwIEst	reg
116	6	acquire	acquired	@kwaI@r*	@kwaI@d	reg
10	1	acquit	acquitted	@kwIt	@kwItId	reg
92	5	act	acted	&kt	&ktId	reg
12	1	activate	activated	&ktIveIt	&ktIveItId	reg
40	2	adapt	adapted	@d&pt	@d&ptId	reg
395	22	add	added	&d	&dId	reg
9	1	addict	addicted	@dIkt	@dIktId	reg
2	0	addle	addled	&dl,	&dl,d	reg
67	4	address	addressed	@drEs	@drEst	reg
2	0	adduce	adduced	@dju:s	@dju:st	reg
10	1	adhere	adhered	@dhI@r*	@dhI@d	reg
2	0	adjoin	adjoined	@dZOIn	@dZOInd	reg
4	0	adjourn	adjourned	@dZ3:n	@dZ3:nd	reg
3	0	adjudge	adjudged	@dZVdZ	@dZVdZd	reg
2	0	adjure	adjured	@dZU@r*	@dZU@d	reg
35	2	adjust	adjusted	@dZVst	@dZVstId	reg
22	1	administer	administered	@dmInIst@r*	@dmInIst@d	reg
71	4	admire	admired	@dmaI@r*	@dmaI@d	reg
119	7	admit	admitted	@dmIt	@dmItId	reg
5	0	admonish	admonished	@dmOnIS	@dmOnISt	reg
111	6	adopt	adopted	@dOpt	@dOptId	reg
25	1	adore	adored	@dO:r*	@dO:d	reg
8	0	adorn	adorned	@dO:n	@dO:nd	reg
2	0	adulterate	adulterated	@dVlt@reIt	@dVlt@reItId	reg
1	0	adumbrate	adumbrated	&dVmbreIt	&dVmbreItId	reg
50	3	advance	advanced	@dvA:ns	@dvA:nst	reg
2	0	advantage	advantaged	@dvA:ntIdZ	@dvA:ntIdZd	reg
25	1	advertise	advertised	&dv@taIz	&dv@taIzd	reg
74	4	advise	advised	@dvaIz	@dvaIzd	reg
21	1	advocate	advocated	&dv@keIt	&dv@keItId	reg
2	0	aerate	aerated	eI@reIt	eI@reItId	reg
95	5	affect	affected	@fEkt	@fEktId	reg
15	1	affiliate	affiliated	@fIlIeIt	@fIlIeItId	reg
6	0	affirm	affirmed	@f3:m	@f3:md	reg
1	0	affix	affixed	@fIks	@fIkst	reg
13	1	afflict	afflicted	@flIkt	@flIktId	reg
13	1	afford	afforded	@fO:d	@fO:dId	reg
