present	regular	irregular1	irregular2	IOR
bize	bized	boze	-	both
dize	dized	doze	-	both
drice	driced	droce	-	both
flidge	fliged	fludge	-	both
fro	froed	frew	-	both
gare	gared	gore	-	both
glip	glipped	glup	-	both
rife	rifed	rofe	riff	both
stin	stinned	stun	stan	both
stip	stipped	stup	-	both
blafe	blafed	bleft	reg
bredge	bredged	broge	-	reg
chool	chooled	chole	-	reg
dape	daped	dapt	-	reg
gezz	gezzed	gozz	-	reg
nace	naced	noce	-	reg
spack	spacked	spuck	- 	reg
stire	stired	store	-	reg
tesh	teshed	tosh	-	reg
wiss	wissed	wus	-	reg
blig	bligged	blug	-	irreg
chake	chaked	chook	-	irreg
drit	dritted	drit	drat	irreg
fleep	fleeped	flept	-	irreg
gleed	gleeded	gled	gleed	irreg
glit	glitted	glit	glat	irreg
plim	plimmed	plum	plam	irreg
queed	queeded	qued	-	irreg
scride	scrided	scrode	scrid	irreg
spling	splinged	splung	splang	irreg
gude	guded	gude	-	none
nold	nolded	nold	neld	none
nung	nunged	nang	-	none
pank	panked	punk	-	none
preak	preaked	proke	preck	none
rask	rasked	rusk	-	none
shilk	shilked	shalk	-	none
tark	tarked	tork	-	none
teep	teeped	tept	-	none
trisk	trisked	trask	trusk	none
tunk	tunked	tank	-	none
grell	grelled	grelt	-	none
murn	murned	murnt	-	none
scoil	scoiled	scoilt	-	none
shurn	shurned	shurnt	-	none
skell	skelled	skelt	-	none
snell	snelled	snelt	snold	none
squill	squilled	squilt	none
kive	kived	kave	-	none
lum	lummed	lame	-	none
pum	pummed	pame	-	none
shee	sheed	shaw	-	none
zay	zayed	zed	-	none
chind	chinded	chound	-	none
flet	fletted	flet	-	none
grint	grinted	groant	grount	none
rint	rinted	roant	rount	none
shynt	shinted	shoant	shount	none
